"rid", "binaryID"
477,1
476,10
472,100
467,1000
471,1001
466,10000
470,10010
465,100100
469,100101
464,1001000
468,1001010
298,10010100
297,100101000
293,1001010000
294,10010100000
295,100101000000
290,1001010000000
291,10010100000000
292,100101000000000
288,1001010000000000
289,10010100000000000
286,100101000000000000
285,1001010000000000000
287,1001010000000000001
277,10010100000000000000
279,100101000000000000000
278,1001010000000000000000
274,10010100000000000000000
489,10010100000000000000001
275,100101000000000000000000
280,100101000000000000000010
273,1001010000000000000000000
283,1001010000000000000000100
270,10010100000000000000000000
284,10010100000000000000001000
271,100101000000000000000000000
296,100101000000000000000010000
269,1001010000000000000000000000
257,10010100000000000000000000000
268,10010100000000000000000000001
256,100101000000000000000000000000
267,100101000000000000000000000010
258,1001010000000000000000000000000
262,10010100000000000000000000000000
259,100101000000000000000000000000000
261,1001010000000000000000000000000000
260,10010100000000000000000000000000000
254,100101000000000000000000000000000000
255,1001010000000000000000000000000000000
246,10010100000000000000000000000000000000
247,100101000000000000000000000000000000000
248,1001010000000000000000000000000000000000
245,10010100000000000000000000000000000000000
241,100101000000000000000000000000000000000000
242,1001010000000000000000000000000000000000000
243,10010100000000000000000000000000000000000000
244,100101000000000000000000000000000000000000000
224,1001010000000000000000000000000000000000000000
233,1001010000000000000000000000000000000000000001
225,10010100000000000000000000000000000000000000000
232,10010100000000000000000000000000000000000000010
226,100101000000000000000000000000000000000000000000
229,100101000000000000000000000000000000000000000100
213,1001010000000000000000000000000000000000000000000
230,1001010000000000000000000000000000000000000001000
214,10010100000000000000000000000000000000000000000000
238,10010100000000000000000000000000000000000000010000
436,10010100000000000000000000000000000000000000010001
215,100101000000000000000000000000000000000000000000000
239,100101000000000000000000000000000000000000000100000
281,100101000000000000000000000000000000000000000100010
216,1001010000000000000000000000000000000000000000000000
249,1001010000000000000000000000000000000000000001000000
217,10010100000000000000000000000000000000000000000000000
250,10010100000000000000000000000000000000000000010000000
218,100101000000000000000000000000000000000000000000000000
240,100101000000000000000000000000000000000000000100000000
434,100101000000000000000000000000000000000000000100000001
219,1001010000000000000000000000000000000000000000000000000
237,1001010000000000000000000000000000000000000001000000000
462,1001010000000000000000000000000000000000000001000000010
220,10010100000000000000000000000000000000000000000000000000
236,10010100000000000000000000000000000000000000010000000000
463,10010100000000000000000000000000000000000000010000000100
221,100101000000000000000000000000000000000000000000000000000
235,100101000000000000000000000000000000000000000100000000000
272,100101000000000000000000000000000000000000000100000001000
276,100101000000000000000000000000000000000000000100000001001
222,1001010000000000000000000000000000000000000000000000000000
227,1001010000000000000000000000000000000000000001000000000000
282,1001010000000000000000000000000000000000000001000000010010
223,10010100000000000000000000000000000000000000000000000000000
231,10010100000000000000000000000000000000000000010000000000000
208,100101000000000000000000000000000000000000000000000000000000
228,100101000000000000000000000000000000000000000100000000000000
431,100101000000000000000000000000000000000000000100000000000001
209,1001010000000000000000000000000000000000000000000000000000000
212,1001010000000000000000000000000000000000000001000000000000000
433,1001010000000000000000000000000000000000000001000000000000010
201,10010100000000000000000000000000000000000000000000000000000000
206,10010100000000000000000000000000000000000000000000000000000001
211,10010100000000000000000000000000000000000000010000000000000000
435,10010100000000000000000000000000000000000000010000000000000100
202,100101000000000000000000000000000000000000000000000000000000000
207,100101000000000000000000000000000000000000000000000000000000010
205,100101000000000000000000000000000000000000000100000000000000000
263,100101000000000000000000000000000000000000000100000000000001000
200,1001010000000000000000000000000000000000000000000000000000000000
165,1001010000000000000000000000000000000000000000000000000000000100
427,1001010000000000000000000000000000000000000000000000000000000101
210,1001010000000000000000000000000000000000000001000000000000000000
264,1001010000000000000000000000000000000000000001000000000000010000
195,10010100000000000000000000000000000000000000000000000000000000000
166,10010100000000000000000000000000000000000000000000000000000001000
426,10010100000000000000000000000000000000000000000000000000000001010
251,10010100000000000000000000000000000000000000010000000000000000000
