"z","easting","northing"
3.59513560244951,817738.824929823,1080570.95798595
4.49110231457712,914593.597440123,1295545.07103564
4.10146315355874,359574.134042327,1178227.83958712
4.02827506508679,265331.929291858,1239089.15244745
2.80321244289476,304528.753527495,1453636.09944246
3.91892842496517,162932.75359108,1451625.06873653
0.992975326984513,-1437776.44609615,1568022.13185876
0.651920240520265,-1572877.64383846,1125528.57544641
1.89340962287615,-1282009.24524398,1204889.11308763
1.54369686143362,-1972775.44538424,1464991.27786731
1.44499134945508,-2292550.23978155,2104351.20760317
1.680476123008,-1913670.35059329,1348588.50875552
1.22065556157337,-2000489.74335982,1743040.98094346
0.792464510246358,-2157509.35065447,2387296.7391684
1.19707978013163,-2198571.15624375,2022873.67173153
1.49799866488592,-2067833.41790832,1556692.04021469
1.38419651783986,-2059155.87088893,1899813.38906622
4.41157568222512,1816196.23769098,2678192.15298286
1.1238327277669,-863270.957696161,1645157.68532211
1.65951800231272,-634712.309732745,1700460.29344585
2.38285542994115,-809461.253276903,1933979.50036199
1.64073154415949,-980809.099822267,2004321.26268581
0.795612971236643,-805293.309839715,1968375.64763929
1.72220788524498,-777952.778425017,1823455.74026079
1.92821160664487,-731600.764073726,2010993.64689376
2.76152131985252,-903588.259383411,1998189.30916987
2.00349694284768,-800960.788885685,1926277.00744102
2.39749869655856,-1028398.39823905,1688608.69374512
2.20476756144497,-1017600.59405529,1697465.72749712
2.63457776503181,-894821.732454124,1997601.20628423
2.17990825495019,-813010.417690931,1960590.52996307
2.29368698823532,-1095139.30250237,1645007.01437341
3.85110373789126,1326027.0630061,863041.085232224
1.91285127492965,1551823.41658825,386181.147384214
3.22567822325786,1088802.34767553,895671.880899989
3.22133512693107,1359172.15059484,577827.340738179
4.01671507578021,1499592.97524636,729364.386175503
4.05487361085398,1316330.63344372,1098817.11418453
3.63593179253957,1381556.26069417,1011918.01412382
3.79855235583242,1071207.49808659,1188841.11870002
3.41730888273214,1176733.62388931,1010398.9511252
4.29383278668371,367678.939553158,2221379.07017116
4.37469998971358,217666.169428815,1997845.35427401
1.38924439894498,-1406014.00475845,2404360.37000945
1.38455769110572,-1511929.15282262,2784710.99565546
1.06583300755794,-1664320.65857893,2428011.3922563
1.26293309403151,-1584548.93107815,2535410.11723436
5.29660268474047,644342.602609818,1918767.40263273
5.37336021498652,588892.114249877,2115329.61268037
5.7339340770539,660551.679544329,2105306.7844867
5.0052971939736,587290.721970443,1651128.93310146
4.66529741817175,605858.61170638,1757358.54900134
4.97945780180935,641649.121460169,1624320.3765678
4.05092582010582,440513.679392126,2003755.39305352
4.99299509312797,879354.987376613,2029881.12777177
5.39573905966551,732182.522309338,1778679.79310417
5.39509036068906,735932.06611313,2104248.00698478
5.53055150956937,756070.651687032,1976040.17654621
3.963836525388,104553.973404794,1624378.53776224
3.59290968436447,-52196.7164189722,1786532.12714332
2.26583318009071,-423551.013972075,1749071.0759701
5.01766878141633,954239.787770285,1684769.21982036
4.49788839345753,1141885.89864959,1637736.12185574
4.93923070933116,1078357.10262237,1746839.19060881
4.44803327325684,700504.438029465,1556548.18797458
3.66728782617345,274724.759948694,1079818.48791508
4.27480993729546,413060.76547926,771028.955933433
4.61519230368573,553176.097839305,873097.044547424
3.11624774368149,2111157.57007654,2398552.98181147
4.27247001159751,1915209.06912045,2394412.61494596
4.71995762692845,2004876.28396407,2416849.22220851
5.12337779204306,1610688.11250693,1982329.93391083
4.21947864078016,1692619.37927355,1942565.50450053
3.31903600462544,2111866.8017681,2966257.13409092
3.30181768121742,1992683.0003325,2612824.54343426
2.9468627385747,2032404.16096123,2783537.42627627
3.09741827979367,2115911.77084019,2947684.81130789
4.10170696174166,2173345.28690039,2695827.68293618
3.84213482324606,881987.381741352,2560682.60957713
5.17976833458795,865692.870221239,2205160.73152301
4.38714029864558,809422.282297482,2402716.43796322
3.69797241742012,866294.992481082,2649527.1954318
1.57511904312023,567624.772719371,2701519.43704222
2.94431655906766,191831.072172963,2728965.12483792
2.48937743221071,339049.235526594,2780286.59969528
2.15011627592556,116135.324276596,2585450.48798115
2.97270920205795,55658.0562592915,2360947.534836
4.24405466505793,327114.094760824,1753879.31781445
4.39272125225355,501165.48367772,1555746.46561966
4.10170696174166,259302.968310391,1599457.71476561
4.22859314666237,531931.019259531,1041890.03041988
4.35189613846654,678773.049659235,1054972.64499978
3.44136600785211,635535.028193504,1050933.01193575
4.300697617829,568144.536336295,1233797.51951651
1.57384878562078,-890879.779490687,2562793.45371505
0.937549998666738,-1335524.03237859,2961206.88245279
1.47309198626562,-1231221.20115034,2714967.87193466
1.84445113787273,-686587.259448554,2865281.88654095
1.22106510882917,-1026605.94754085,2907982.33071148
4.32354021607294,1668282.15101568,1619389.55204691
4.75226261900581,1133548.43968225,1408643.54904685
4.58977123612931,1373293.64108083,1516161.32075317
3.78219512981549,1594302.01887842,1478771.71339593
4.35580073006101,1484104.65787646,1452441.52703551
4.40045452197838,1544290.90790719,1549485.22837345
4.74257314123884,1225204.59124053,1497654.82305055
0.638748776906853,-549421.81033248,2755183.2978675
2.02657346276911,-130427.74536965,2865470.92375922
1.82181228451232,-246897.153526421,2685693.86638377
3.4505072090926,-40899.0595029507,2016205.13458703
2.11849002829846,-395562.819536299,2015499.79331226
4.24099045035473,1922226.95691953,2575071.12469265
5.77286757166662,1766935.23498905,2119714.9558992
2.4279621084358,-1129931.85905694,1200719.08903624
1.95550504985285,-918044.919895827,1463603.36791063
2.18288799529431,-879111.230571779,1137048.22188867
1.53068612066615,-977474.981387747,1499793.08242443
1.70733710789639,-704859.76604745,1555609.49995328
1.16961532137708,-1720322.17624886,1630384.64173661
1.08443533693808,-1637900.00335773,2202634.6570093
0.953414914924242,-1981063.3650738,1996025.48308545
1.48391374412396,-1553382.54288811,1924857.59310675
5.00889209306809,1563509.25859454,2352617.25481331
5.13887147144195,1353156.70591903,2262907.04799782
4.22291368607032,1725800.71475465,2529923.56100406
5.78385684470147,1601529.45446095,2451263.60343109
4.58344848340199,1507143.83917182,2269689.20139743
5.32494131423061,1753586.77499288,2309380.77820635
4.66390394412235,1743289.93408703,2582159.16346635
5.41220842170735,1806483.63680102,2247870.3579657
4.69776542624257,958206.84626335,1891326.20344661
4.54312667664022,1085720.95395039,2000803.32165879
5.30386651415738,1223192.73468783,1957056.86245069
5.16052322928596,1174237.36335063,2061648.22080332
3.23156308928048,-194493.911535341,1531193.1754127
3.5917962080274,-137742.75999985,1325665.70344924
2.47103217299978,-497662.048216312,1519623.18711755
2.26406713681375,-2163645.05844236,2693897.09979324
0.839047078536121,-2005101.38635827,2501896.60413882
1.74899971412233,-2065225.2000271,2645055.29112832
0.959166304662544,-1700376.7021964,2515606.03235192
0.906090503205944,-1750344.06423094,2679018.14691476
1.48694317309035,-2123413.0380372,2710908.45518149
2.21743094593721,-2019921.28700415,2775390.2199791
5.67282998158767,1501944.85164835,2118382.81648655
6.63498304443953,1418012.35266105,2194829.61434249
6.12282614484521,1505213.44969692,2104093.6725054
5.18623177268429,1744657.10379475,2230859.91570026
3.82256458415028,1429233.24821162,1280821.90522432
1.63431943022164,-467994.856719165,2342730.21011662
2.45967477524977,-182170.166923895,2376090.64542373
4.9565108695533,1044297.49535433,1498851.27072429
2.28582589013249,1110417.22553008,1473775.99256985
3.77200212089018,613816.219450253,1401327.25031659
4.01434926233381,819105.825061908,1397891.94563327
3.120576869747,-621143.943877597,1232179.32924962
3.01429925521671,-167557.337903709,601033.976856268
0.941806774237688,-697023.629713589,718370.509312882
3.41511346810029,-25104.181391453,731848.456368432
2.52824049488968,-437475.289035355,808866.466317223
4.37961185494788,120579.167579485,1034795.73270911
2.42590189414164,-827819.245278971,1019786.33962589
3.38850999703409,107717.353896315,943478.335664469
2.70850512275683,-297512.928144524,1138834.51354229
3.65841495732783,-89938.8771349267,641843.529023455
3.46597749559919,-151515.393796789,1148328.44420217
1.80665436650179,-1307459.58790378,2183126.2180594
1.25658266739598,-1244093.35966829,2137842.64348573
1.57955689989313,-1211650.22717986,1865446.72550785
1.75584737377712,-1407190.60757859,1740106.02802344
4.78424497700525,1509110.23082146,1806330.99330311
3.70715524357964,1349429.86195008,1697545.04070305
2.20794021658196,1508384.2048308,1861253.91784943
4.68422885862764,1270258.71379277,1606682.96784164
4.58682896999659,1837349.62178721,2430688.3330901
4.59869546719502,1816180.54702296,2615334.49306299
2.54813657404779,-2076132.81076402,3070014.52250607
1.47648230602334,-1567532.58445681,3047276.99511541
2.38809547547832,-1876140.49563731,3090370.39795537
2.1304929007157,-1987964.67955952,2926167.71012949
1.31605471010897,-1611155.5253231,2821514.58312778
3.33001501498116,590784.221172219,2557893.30939791
3.35246178203421,599497.212800442,2475577.66279003
3.05875791784835,492226.860552962,2429274.46186301
3.28998480239651,491530.00224248,2578959.9178224
2.84763059402023,320791.302439601,2544151.69963069
4.63324939971938,611201.643088119,2199808.33833427
4.66776177626922,1303749.52883235,1763971.9311631
5.51044462815842,1393199.00505744,1905016.78090045
2.28954143880385,-849934.486911575,2087033.69659743
1.7058722109232,-1042829.56319717,2263546.77471152
1.49298358999689,-1115256.00541506,2295813.87762425
0.431277173056957,-1132550.78757499,2522530.85893201
1.93106188404204,-844654.154853755,2082421.37323853
1.82674574038097,-1044992.95148926,2236858.58534081
1.55852494365666,-1126842.37395617,2330678.45637379
1.51360496827937,-655052.132631295,2348404.97272468
